sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
Производство электрического оборудования,27,2020.0,0.02074358387477774,0.025972770389336382,0.5355017670315133,0.0145446609284589
Производство электрического оборудования,27,2021.0,0.02169572123870479,0.034381937734495736,0.494085267829298,0.0064758381253901915
Производство электрического оборудования,27,2022.0,0.019784481681877797,0.031085557965330645,0.5806815847792477,0.018292147020180644
Производство электрического оборудования,27,2023.0,0.022251274639933958,0.03539329672299166,0.661713006528556,0.0268142914255504
Производство электрического оборудования,27,2024.0,0.02218723149925492,0.0459959970772773,0.6470147820371848,0.019439171124869425
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2017.0,0.007469088598178186,0.06721445403476954,0.5809527499687556,0.000903820901157917
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2018.0,0.007966122133872083,0.03722230981477065,0.5477048115713556,0.04618259663623607
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2019.0,0.0077277517588780495,0.05227216978727894,0.6647648988845827,0.02569121472379024
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2020.0,0.00817209004543945,0.04712755342045992,0.5311958776013124,0.0008874850135872157
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021.0,0.0075605401501856835,0.05110921283004636,0.482643908924171,0.004631429004358952
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022.0,0.007240261618468455,0.05601251256778755,0.578009972775186,0.012234148005837057
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023.0,0.008704101404585886,0.06258350627738075,0.6984896719011148,0.0002734373903278105
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024.0,0.008856468026919853,0.0666699110794728,0.7542466410633916,0.002112395385867305
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2018.0,0.0007199740395885394,0.22064174228962655,0.4377946673200305,0.35962837958692534
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2019.0,0.0007114837851497128,0.15964642280117894,0.420356018318364,0.2888310313685716
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2020.0,0.0006983625098797454,0.12047959300457917,0.512256853000474,0.14111467550102375
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2021.0,0.0007704907932987435,0.3616682161992419,0.40409972011821393,0.2940903930617094
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2022.0,0.0006547674490328475,0.0908052221839871,0.6032195401728642,0.4254730636936019
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023.0,0.0008469790651913964,0.13182341241698334,0.5438805975048172,0.5394372113071225
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2024.0,0.0009427768612023846,0.09701221407168312,0.5096825432414818,0.600615198034098
Производство кабелей и кабельной арматуры,27.3,2018.0,0.005128397286510433,0.025322349199354593,0.676015072053136,0.016442459218531644
Производство кабелей и кабельной арматуры,27.3,2020.0,0.005392676646789361,0.002999068452267968,0.4086707815415825,0.2639374675177896
Производство кабелей и кабельной арматуры,27.3,2021.0,0.00677320221461322,0.0013905752198213122,0.7111350573296322,0.18762382880764353
Производство кабелей и кабельной арматуры,27.3,2024.0,0.006628750750237968,0.031796277746815385,0.4888021222454343,0.08092591972079605
Производство прочего электрического оборудования,27.9,2017.0,0.0022515791891312233,0.03287610755704018,0.6478522971061674,0.14841441172030814
Производство прочего электрического оборудования,27.9,2018.0,0.0021864187963572587,0.07333422500348445,0.7146000640755843,9.224370134897279e-06
