region,okato,year,VDS_r,AIusage_r,BDusage_r
Рязанская область,61,2024,0.06308919410262284,0.35289988300183855,0.08683351308951859
Саратовская область,63,2021,0.12799991688877937,0.4524314787737821,0.38040150315264587
Саратовская область,63,2022,0.12518212795108,0.5292543520496079,0.4707670788715055
Саратовская область,63,2023,0.1272023341756944,0.4178544727914298,0.2334467582855672
Саратовская область,63,2024,0.11858515783745328,0.4253188948235368,0.13401885175664097
Сахалинская область,64,2021,0.15429730941725686,0.2561649577496539,0.466573614707031
Сахалинская область,64,2022,0.17574505858934714,0.440593538059733,0.5343193219166235
Сахалинская область,64,2023,0.14905186510945095,0.3066544183057322,0.28595252650255704
Сахалинская область,64,2024,0.12957657548748605,0.3474150757340823,0.17790782526577859
Свердловская область,65,2021,0.39341444642471607,0.42712987343922537,0.4808266480641786
Свердловская область,65,2022,0.368875592568761,0.4589086482496868,0.5840384533621638
Свердловская область,65,2023,0.3936088536358057,0.3651885416598948,0.2875690755225714
Свердловская область,65,2024,0.3666822831113365,0.3050935044436057,0.14148062561645766
Смоленская область,66,2021,0.053940149944904724,0.7870213759270173,0.2777145730538358
Смоленская область,66,2022,0.051133806228373706,0.4043256315279777,0.3762064975622908
Смоленская область,66,2023,0.05234867263438865,0.3035697918295385,0.16880687227400534
Смоленская область,66,2024,0.050616785193293094,0.436403727666216,0.11728397361851176
Тамбовская область,68,2021,0.055570640688781765,0.40685047731359697,0.2692371321515437
Тамбовская область,68,2022,0.047767962592113536,0.5237251158985547,0.40823068309070554
Тамбовская область,68,2023,0.04892602679411129,0.44806022931003675,0.21218281174893114
Тамбовская область,68,2024,0.044831254724038885,0.4832109705413867,0.1455116156679949
Томская область,69,2021,0.09109696759671414,0.461209796503246,0.40824154138710483
Томская область,69,2022,0.08611320793637246,0.6181909696521096,0.47846990881458973
Томская область,69,2023,0.08565289861425619,0.413244657541309,0.2428142973077873
Томская область,69,2024,0.0847243594521911,0.3586851269854753,0.11660446459713987
Ставропольский край,7,2021,0.13197931366305019,0.40078752832125564,0.3774338380185079
Ставропольский край,7,2022,0.12548728718410013,0.5797315906721087,0.4241988907022542
Ставропольский край,7,2023,0.1278331326369146,0.32515976066127794,0.2144891558386515
Ставропольский край,7,2024,0.12325215485693959,0.32788590662048217,0.0978587319243604
Тульская область,70,2021,0.11219773304646968,0.5573091978366931,0.47819925454263085
Тульская область,70,2022,0.10655468060926794,0.6016721190575243,0.5937640743904333
Тульская область,70,2023,0.10791009830378119,0.3703873810514834,0.3007337773324689
Тульская область,70,2024,0.1007971956830637,0.33432897383373344,0.16128582575267383
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2021,0.19728783884176704,0.5125241667311113,0.43675531914893617
