region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2022,0.7594369472555987,0.17151227149202503,0.2789018940038358,0.22720847826748333
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2023,0.8359104520933213,0.15663653417864207,0.4148881468048982,0.660431303543342
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,0.806129900581073,0.1523382469957723,0.16201277903390168,0.11545899324234635
Ямало-Ненецкий автономный округ (Тюменская область),7114,2022,0.5834499580513424,0.15016131602266206,0.672879606859719,0.23273302674686844
Ямало-Ненецкий автономный округ (Тюменская область),7114,2023,0.5253709900586483,0.1525550766355544,0.654436167566703,0.13298553009675604
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,0.5141954040555824,0.14902734145906124,0.1023382815361168,0.1989160388212322
Ульяновская область,73,2020,0.0651642203210036,0.36721314316197734,0.3176018765322493,0.2642204919235222
Ульяновская область,73,2021,0.06783457954366243,0.5132269560035371,0.1152190714525621,0.190120578555078
Ульяновская область,73,2022,0.06573131539304058,0.5169605743288732,0.00737346996856693,0.208884001237926
Ульяновская область,73,2023,0.06641472804312724,0.48331795224312596,0.009646136600783,0.2513972083192712
Челябинская область,75,2020,0.23691903133935982,0.6036697857062924,0.6285868249613761,0.17853843345997975
Челябинская область,75,2021,0.2740124384768803,0.3995610364936196,0.5445935134595303,0.27976376245734125
Челябинская область,75,2022,0.2488118323076211,0.387322883576282,0.6013820967240516,0.2723861742843872
Челябинская область,75,2023,0.2552513492414076,0.4703127085595046,0.4435615125173857,0.16497030459562778
Челябинская область,75,2024,0.23955384427695336,0.40488375375957103,0.38427984537662857,0.30330586913207136
Забайкальский край,76,2020,0.06219138859422563,0.2855361360359979,0.032633276937223066,0.32023070611307447
