sector,okved2,year,AIusage_s
Научные исследования и разработки в области естественных и технических наук,72.1,2021.0,157.0
Научные исследования и разработки в области естественных и технических наук,72.1,2022.0,221.0
Научные исследования и разработки в области естественных и технических наук,72.1,2023.0,180.0
Научные исследования и разработки в области естественных и технических наук,72.1,2024.0,177.0
Научные исследования и разработки в области естественных и технических наук,72.1,2025.0,191.0
Научные исследования и разработки в области биотехнологии,72.11,2021.0,2.0
Научные исследования и разработки в области биотехнологии,72.11,2022.0,2.0
Научные исследования и разработки в области биотехнологии,72.11,2023.0,1.0
Научные исследования и разработки в области биотехнологии,72.11,2024.0,2.0
Научные исследования и разработки в области биотехнологии,72.11,2025.0,4.0
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2021.0,155.0
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2022.0,219.0
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2023.0,179.0
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2024.0,175.0
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2025.0,187.0
Научные исследования и разработки в области общественных и гуманитарных наук,72.20,2021.0,16.0
Научные исследования и разработки в области общественных и гуманитарных наук,72.20,2022.0,42.0
Научные исследования и разработки в области общественных и гуманитарных наук,72.20,2023.0,23.0
Научные исследования и разработки в области общественных и гуманитарных наук,72.20,2024.0,30.0
Научные исследования и разработки в области общественных и гуманитарных наук,72.20,2025.0,38.0
Научные исследования и разработки в области общественных наук,72.20.1,2021.0,2.0
Научные исследования и разработки в области общественных наук,72.20.1,2022.0,10.0
Научные исследования и разработки в области общественных наук,72.20.1,2023.0,7.0
Научные исследования и разработки в области общественных наук,72.20.1,2024.0,9.0
Научные исследования и разработки в области общественных наук,72.20.1,2025.0,13.0
Научные исследования и разработки в области общественных наук прочие,72.20.19,2022.0,1.0
Научные исследования и разработки в области общественных наук прочие,72.20.19,2024.0,1.0
Научные исследования и разработки в области гуманитарных наук,72.20.2,2022.0,6.0
Научные исследования и разработки в области гуманитарных наук,72.20.2,2023.0,4.0
Научные исследования и разработки в области гуманитарных наук,72.20.2,2024.0,7.0
Научные исследования и разработки в области гуманитарных наук,72.20.2,2025.0,6.0
Деятельность рекламная и исследование конъюнктуры рынка,73,2021.0,63.0
Деятельность рекламная и исследование конъюнктуры рынка,73,2022.0,72.0
Деятельность рекламная и исследование конъюнктуры рынка,73,2023.0,50.0
Деятельность рекламная и исследование конъюнктуры рынка,73,2024.0,66.0
Деятельность рекламная и исследование конъюнктуры рынка,73,2025.0,69.0
Деятельность рекламная,73.1,2021.0,25.0
Деятельность рекламная,73.1,2022.0,41.0
Деятельность рекламная,73.1,2023.0,34.0
Деятельность рекламная,73.1,2024.0,38.0
Деятельность рекламная,73.1,2025.0,46.0
Деятельность рекламных агентств,73.11,2021.0,25.0
