sector,okved2,year,researchers_s
Производство прочих текстильных изделий,13.9,2025,36.0
Собирательная классификационная группировка видов экономической деятельности в области деятельности творческих (креативных) индустрий на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),13210000.029.02,2024,6347.0
Собирательная классификационная группировка видов экономической деятельности в области деятельности творческих (креативных) индустрий на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),13210000.029.02,2025,4260.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2017,783.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2018,1143.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2019,1059.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2020,950.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2021,981.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2022,1880.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2023,2129.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2024,1726.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2025,1669.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2019,87067.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2020,94524.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2021,91639.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2022,102902.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2023,107031.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2024,127683.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2025,127122.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2018,378.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2019,628.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2020,609.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2021,590.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2022,494.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2023,465.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2024,489.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2025,414.0
"Собирательная классификационная группировка видов экономической деятельности в области лазерных, оптических и оптоэлектронных технологий (фотоники) на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД 2) ОК 029-2014 (КДЕС Ред.2)",1323500.029.36,2024,845.0
