sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s,x,y,clust
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2021.0,0.0809345167095425,0.1105013391726687,0.0871198264315083,0.0437389006290084,0.024152287924845098,-0.00580071110817984,2
Производство изделий из бумаги и картона,17.2,2024.0,0.0258128435633718,0.0690498542201433,0.0215088302839378,0.0088679882869652,-0.04845071848177644,-0.04412265335598416,2
Ремонт и монтаж машин и оборудования,33,2021.0,0.0578936145726346,0.1231181897740331,0.0084092257778471,0.0706838232510903,-0.05050497969322411,0.026451384877173814,0
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2022.0,0.0674285462232543,0.1109181303006186,0.0097280698076385,0.0125901254355523,-0.05331077035177412,-0.0015495713503872466,2
Производство готовых кормов для животных,10.9,2022.0,0.0286026128242015,0.0161840077928596,0.0248198377686778,0.0064082374061666,-0.053640459449629696,-0.09537457479163526,2
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.0367745650372886,0.1051696133786124,0.0059398030093304,0.0220480446969535,-0.05760377590893463,-0.0037300242360593927,2
Производство металлургическое,24,2022.0,0.386553945167005,0.0827414665553682,0.1045120123702995,0.0173464992155732,0.03593189043385904,-0.04227237894576012,2
Производство строительных металлических конструкций и изделий,25.1,2024.0,0.0424805118680905,0.048311571688266,0.0163077100359403,0.029018147848014,-0.056108842633113984,-0.057269077910754924,2
Производство напитков,11,2023.0,0.0428625130252314,0.0597670008539377,0.0004059435945779,0.0078823982146068,-0.07077845485291116,-0.04975623561444019,2
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2023.0,0.013721603683589,0.1468767134879165,0.0081699485849923,0.0194734007863964,-0.04890081499302997,0.03465524625627568,0
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2023.0,0.044222770853657,0.0444238466877912,0.0103223192169396,0.0282363164217872,-0.06265899972584626,-0.06019480294306574,2
"Производство, передача и распределение электроэнергии",35.1,2021.0,0.1900557571234871,0.3386929875751756,0.1540848030833611,0.2263182275286985,0.1331722227529912,0.25030921099649733,3
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,0.206209619951438,0.047093150879747,0.0162007627628906,0.0190500721872452,-0.056780651006074885,-0.06119159813724084,2
Производство стекла и изделий из стекла,23.1,2021.0,0.0137265124186863,0.0601534033751619,0.0352613763086859,0.0061511756557882,-0.036390595533781704,-0.055533760066071775,2
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022.0,0.0197712998484603,0.2847118528054392,0.0011769458412864,0.0085923415286632,-0.034399971465285284,0.16318106520601394,0
Добыча металлических руд,07,2023.0,0.0675121605223906,0.0923010784957869,0.7486752612532511,0.010685719393293,0.6727858384246977,-0.1396752606744062,4
"Производство изделий из бетона, цемента и гипса",23.6,2024.0,0.036965412438962,0.0358887846133574,0.0038229998290532,0.0172093481432438,-0.07083544073036487,-0.07029919521298111,2
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.0976198461773598,0.1380336333350893,0.0026601786797491,0.0028332359974798,-0.056359936622908634,0.022529362579595133,0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023.0,0.0194291117092126,0.0735215825356956,0.0140921822017558,0.0030140942615511,-0.05528049016223839,-0.040323556804789926,2
